Response Reason Code Description,Result
Invalid data - bad format,Declined/Issuer
3-D Secure transaction not supported by merchant,TBD
Absolute Decline,TBD
Account does not exist,Declined/Issuer
Account number invalid,Declined/Issuer
Account number not mod10,TBD
Account number not numeric,TBD
Account number too long,TBD
Account number too short,TBD
Account number was previously registered,TBD
Account number was successfully registered,TBD
Activity amount limit exceeded,Declined/Issuer
Activity count limit exceeded,Declined/Issuer
Add-on code already exists,TBD
Allowable number of PIN-entry tries exceeded,Declined/Issuer
"Allowable number of PIN-entry tries exceeded, Pick Up Card",Declined/Issuer
Altered data,TBD
Amount failed Litle edit checks when there is no valid auth,Declined/Vantiv
Apple Pay Decryption Failed,Declined/Vantiv
Apple Pay Key Mismatch,Declined/Vantiv
Approved,Approved
Approved - new account,Approved
Approved - Preferred Account,Approved
Approved - Recurring subscription created,Approved
Approved - Updated Bank Routing Number,Approved
Approved but Global not captured (card type),Approved
Approved but Global not captured (EDC down),Approved
Approved or completed successfully,Approved
Approved with updated cardholder informtion,Approved
"Approved, no AVS match - Merchant requested code",Approved
Attempt to close batch by customer with system Batch Close option,TBD
Attempt to transmit transaction to an already closed batch,TBD
Auth recycle host system down,TBD
Authorization already exists for the order,TBD
Authorization amount has already been depleted,TBD
Authorization has expired; no need to reverse,TBD
Authorization no longer available,TBD
Auto Recycling Complete,Declined/Vantiv
Auto Recycling In Progress,Declined/Vantiv
Automatic refund already issued,Declined/Vantiv
Auto-void on refund,TBD
Bad card but passes MOD 10 check,TBD
Bad close,TBD
Bank not supported by switch,TBD
Bill to address is not equal to ship to address,TBD
Blocked agreement,TBD
Call - generic,Declined/Issuer
Call AMEX,Declined/Issuer
Call AMEX(touchtone),Declined/Issuer
Call Diners Club,Declined/Issuer
Call Diners Club (touchtone),Declined/Issuer
Call Discover,Declined/Issuer
Call Discover (touchtone),Declined/Issuer
Call indicated number,Declined/Issuer
Call indicated number (touchtone),Declined/Issuer
Call JBS,Declined/Issuer
Call TeleCheck,Declined/Issuer
Call TeleCheck (touchtone),Declined/Issuer
Call TeleCredit,Declined/Issuer
Call TeleCredit (touchtone),Declined/Issuer
Call Visa/MasterCard (touchtone),Declined/Issuer
